ID,Vehicles
20170701001,53.3093200865
20170701011,45.4454838838
20170701021,37.986073543
20170701031,32.3690476839
20170701041,27.5758522842
20170701051,26.7220643536
20170701061,30.1521948115
20170701071,34.795602855
20170701081,39.4240321629
20170701091,46.6887189406
20170701101,59.1959631869
20170701111,69.9057591582
20170701121,71.2238878931
20170701131,63.8393712304
20170701141,68.2730769751
20170701151,67.5091614583
20170701161,65.4121384709
20170701171,65.2024361722
20170701181,69.4114608826
20170701191,71.4036327206
20170701201,68.9471200782
20170701211,63.9142649085
20170701221,60.3942620368
20170701231,58.6417499688
20170702001,50.3425636457
20170702011,42.9163636137
20170702021,35.8720824405
20170702031,30.5676538462
20170702041,26.0412081123
20170702051,25.234934966
20170702061,28.4741726943
20170702071,32.8591669989
20170702081,37.2300161606
20170702091,44.0904104759
20170702101,55.9016048126
20170702111,66.0153819991
20170702121,67.2601545759
20170702131,60.2865991172
20170702141,64.473561421
20170702151,63.7521591322
20170702161,61.7718391236
20170702171,61.5738071228
20170702181,65.5485922828
20170702191,67.4298962909
20170702201,65.1100928523
20170702211,60.3573248318
20170702221,57.033216246
20170702231,55.3782345246
20170703001,77.7820026869
20170703011,66.3081191773
20170703021,55.4243211053
20170703031,47.2286900271
20170703041,40.2350848403
20170703051,38.9893489164
20170703061,43.9941476282
20170703071,50.7692026529
20170703081,57.5224026614
20170703091,68.1220855226
20170703101,86.3710240569
20170703111,101.997360646
20170703121,103.920602073
20170703131,93.1460790816
20170703141,99.6151638794
20170703151,98.5005580527
20170703161,95.4408557835
20170703171,95.1348855566
20170703181,101.276145111
20170703191,104.182862267
20170703201,100.598639609
20170703211,93.2553541626
20170703221,88.1194253536
20170703231,85.5623884572
20170704001,86.7038973765
20170704011,73.9139153246
20170704021,61.7817037783
20170704031,52.6460023126
20170704041,44.8502037286
20170704051,43.4615771059
20170704061,49.0404454675
20170704071,56.5926253458
20170704081,64.1204433535
20170704091,75.9359505824
20170704101,96.2781125125
20170704111,113.696849974
20170704121,115.840694584
20170704131,103.830292391
20170704141,111.041406081
20170704151,109.798950682
20170704161,106.388288801
20170704171,106.047222613
20170704181,112.892908245
20170704191,116.133037031
20170704201,112.137690257
20170704211,103.952101744
20170704221,98.2270621585
20170704231,95.3767233013
20170705001,86.4618151334
20170705011,73.7075434433
20170705021,61.6092057259
20170705031,52.4990116615
20170705041,44.7249793933
20170705051,43.3402298955
20170705061,48.9035217375
20170705071,56.4346154973
20170705081,63.9414154064
20170705091,75.7239330629
20170705101,96.0092985129
20170705111,113.379401862
20170705121,115.517260736
20170705131,103.540392273
20170705141,110.731372121
20170705151,109.492385728
20170705161,106.091246611
20170705171,105.751132699
20170705181,112.577704785
20170705191,115.808786946
20170705201,111.824595409
20170705211,103.661861527
20170705221,97.9528065799
20170705231,95.1104260319
20170706001,83.1636642276
20170706011,70.8959138147
20170706021,59.2590762802
20170706031,50.4963974139
20170706041,43.0189114479
20170706051,41.6869842602
20170706061,47.0380601546
20170706071,54.2818746841
20170706081,61.50232207
20170706091,72.8353867372
20170706101,92.3469516796
20170706111,109.054459385
20170706121,111.110768025
20170706131,99.5907662091
20170706141,106.507440728
20170706151,105.315716402
20170706161,102.044316292
20170706171,101.717176281
20170706181,108.283343645
20170706191,111.391173749
20170706201,107.558962192
20170706211,99.7076019273
20170706221,94.2163231711
20170706231,91.4823673648
20170707001,76.1917684199
20170707011,64.9524656886
20170707021,54.2911842407
20170707031,46.2631108613
20170707041,39.4124882442
20170707051,38.1922210905
20170707061,43.0946979009
20170707071,49.7312385612
20170707081,56.3463710259
20170707091,66.72934593
20170707101,84.6051893215
20170707111,99.9120492317
20170707121,101.795970451
20170707131,91.2417299819
20170707141,97.5785559027
20170707151,96.4867379231
20170707161,93.4895905281
20170707171,93.1898757886
20170707181,99.2055787743
20170707191,102.0528688
20170707201,98.5419247082
20170707211,91.3487709603
20170707221,86.3178449758
20170707231,83.8130860814
20170708001,54.230725232
20170708011,46.2309694728
20170708021,38.6426297242
20170708031,32.9285184676
20170708041,28.0524768621
20170708051,27.1839319511
20170708061,30.6733492251
20170708071,35.3970145304
20170708081,40.1054422058
20170708091,47.4956927643
20170708101,60.2191138288
20170708111,71.1140192913
20170708121,72.4549307328
20170708131,64.9427791342
20170708141,69.4531176194
20170708151,68.6759984885
20170708161,66.542730286
20170708171,66.3294034658
20170708181,70.6111775007
20170708191,72.637782293
20170708201,70.1388109701
20170708211,65.0189672843
20170708221,61.4381242302
20170708231,59.6553215182
20170709001,49.2481900176
20170709011,41.9834247017
20170709021,35.0922758878
